Ausdr3,SbwVerWert,GebaeudeBaujahr,schad_index,schadensatz,zweckcode,zweckcode_kat,schadencode,verletzte,todesopfer,volumen
1993,788000,1982,2562,0.0027918781725888324,2020,20,11,0,0,918
2000,1045000,1984,1952,0.0015311004784688996,2020,20,53,0,0,1104
1987,878000,1984,53446,0.041571753986332574,2020,20,53,0,0,1005
1993,878000,1984,2630,0.002571753986332574,2020,20,52,0,0,1005
1997,878000,1984,0,0,2020,20,59,0,0,1005
2003,1198000,1984,16856,0.012353923205342237,2020,20,12,0,0,1217
1999,788000,1959,0,0,2020,20,49,0,0,836
2011,2867000,1987,0,0,2119,21,52,0,0,4190
1990,1872000,1987,1625,6.944444444444445e-4,2020,20,61,0,0,2181
1992,668000,1987,1747,0.002245508982035928,2020,20,61,0,0,853
1997,668000,1987,2746,0.0033682634730538923,2020,20,52,0,0,853
2006,668000,1987,1253,0.0016467065868263472,2020,20,52,0,0,853
1989,3823000,1988,788,1.5694480774261052e-4,2020,20,61,0,0,5167
1996,956700,1870,888,7.609490958503188e-4,2020,20,61,0,0,957
1996,978000,1957,732,6.134969325153375e-4,2020,20,61,0,0,1092
1996,587700,1930,610,8.507742045261188e-4,2020,20,61,0,0,577
1998,1852000,1849,1464,6.479481641468683e-4,3132,31,12,0,0,3055
1998,0,1900,0,0,3395,33,89,0,0,NA
1993,1180000,1820,437,3.177966101694915e-4,2020,20,61,0,0,939
2004,719000,1860,1367,0.0016689847009735744,2032,20,15,0,0,1377
2013,719000,1860,6e3,0.008344923504867872,2032,20,13,0,0,1377
2003,1424000,1550,6036,0.0037219101123595506,2032,20,15,0,0,2485
1990,1150000,1957,4375,0.003043478260869565,2020,20,61,0,0,1750
1994,1882000,1917,294077,0.12805526036131776,2673,26,24,0,0,2535
1993,4605700,1988,591,1.1008098660355646e-4,7903,79,61,0,0,9299
1993,10161200,1988,436,3.680667637680589e-5,1406,14,61,0,0,14273
1997,706000,1982,681,7.903682719546742e-4,2020,20,89,0,0,996
2000,3013000,1800,7565,0.002057749751078659,2020,20,12,0,0,3497
2011,3013000,1800,1e3,3.3189512114171923e-4,2020,20,15,0,0,3497
1993,658000,1988,280,3.64741641337386e-4,2020,20,89,0,0,842
1992,4330000,1924,233,4.618937644341802e-5,2020,20,39,0,0,3669
1998,1536000,1989,358,1.9075520833333333e-4,2020,20,61,0,0,1252
2003,1536000,1989,4783,0.002734375,2020,20,52,0,0,1252
1993,1406000,1750,1732,0.0010576102418207681,2020,20,61,0,0,1474
2008,921000,1989,2113,0.0021715526601520088,2040,20,59,0,0,898
2012,83100,1990,200,0.0024067388688327317,7607,76,61,0,0,44
2016,83100,1990,600,0.007220216606498195,7607,76,61,0,0,44
2012,85400,1990,800,0.00936768149882904,9048,90,61,0,0,100
2016,85400,1990,1100,0.01288056206088993,9048,90,61,0,0,100
1995,1690000,1962,2562,0.001242603550295858,2679,26,23,0,0,2158
1995,3667200,1965,614,1.3716186736474696e-4,2020,20,11,0,0,2442
2014,883000,1880,2500,0.0028312570781426952,2020,20,61,0,0,899
1997,769900,1880,1464,0.0015586439797376282,3033,30,15,0,0,1142
2006,1154000,1895,2772,0.0021091854419410744,2880,28,51,0,0,1122
2000,555000,1850,1647,0.0024324324324324323,2020,20,61,0,0,566
2000,1632000,1844,1220,6.127450980392157e-4,2032,20,61,0,0,2535
2014,1187000,1820,9e3,0.007582139848357203,3020,30,61,0,0,1458
1992,1086700,1880,1747,0.0013803257568786233,3232,32,59,0,0,3861
2001,1086700,1880,1059,8.558019692647465e-4,3232,32,59,0,0,3861
1995,1281000,1955,11348,0.007259953161592506,2020,20,11,0,0,1297
1994,1131000,1973,3661,0.002652519893899204,3020,30,61,0,0,1224
1998,1131000,1973,3661,0.002652519893899204,3020,30,61,0,0,1224
1998,1443100,1973,0,0,3232,32,61,0,0,5000
2012,1458000,1830,5e3,0.003429355281207133,2032,20,15,0,0,2354
1988,40000,1938,1177,0.02125,2020,20,61,0,0,697
1993,1158000,1990,3494,0.0025906735751295338,2020,20,61,0,0,1103
2006,1158000,1990,1367,0.0010362694300518134,2020,20,61,0,0,1103
1994,688000,1918,0,0,2033,20,61,0,0,874
1995,4236700,1845,1952,3.7765241815564e-4,1005,10,29,1,0,3849
1988,1124300,1977,2493,0.0016009961753980255,2040,20,59,0,0,1121
1993,1124300,1977,2912,0.0022236057991639243,2040,20,61,0,0,1121
1992,1203800,1874,11065,0.007891676358199037,3132,31,49,0,0,2514
1997,1109000,1968,3295,0.0024346257889990984,2040,20,53,0,0,1281
1985,700000,1787,952,9.285714285714286e-4,2020,20,13,0,0,896
1989,700000,1787,3285,0.0035714285714285713,2020,20,15,0,0,896
1996,638000,1956,1952,0.0025078369905956114,2020,20,16,0,0,875
1988,726000,1800,1524,0.0015151515151515152,2033,20,52,0,0,766
1993,726000,1800,42514,0.05027548209366391,2033,20,12,0,0,766
1999,506000,1840,0,0,2020,20,89,0,0,577
1991,869000,1880,1747,0.0017261219792865361,2020,20,49,0,0,840
1999,826000,1876,366,3.631961259079903e-4,2020,20,52,0,0,939
1993,491600,1986,2912,0.005085435313262815,3232,32,61,0,0,1446
2010,480600,1840,2e3,0.004161464835622139,2032,20,29,0,0,580
1989,1264200,1758,24311,0.01463376048093656,3033,30,19,0,0,1954
2010,1264200,1758,2900,0.0022939408321468123,3033,30,29,0,0,1954
2010,0,1800,408e3,0,3232,32,59,0,0,NA
2010,69700,1880,2e3,0.028694404591104734,3333,33,29,0,0,164
2010,0,1929,107400,0,3340,33,59,0,0,NA
1989,0,1981,729,0,2009,20,61,0,0,947
1996,1671000,1971,15253,0.007480550568521843,2020,20,23,0,0,1287
2014,839000,1974,18e3,0.021454112038140644,2020,20,23,0,0,948
1992,689000,1974,2562,0.003193033381712627,2020,20,29,0,0,713
2003,0,1962,0,0,2020,20,61,0,0,NA
1994,591000,1977,1952,0.0027072758037225042,2040,20,52,0,0,610
1988,1028000,1978,831,5.836575875486381e-4,2040,20,19,0,0,1363
1999,1028000,1978,366,2.9182879377431906e-4,2040,20,49,0,0,1363
1987,1248200,1850,0,0,2020,20,61,0,0,1423
1992,1028000,1980,16540,0.013813229571984435,2020,20,59,0,0,1145
1987,2396000,1987,0,0,4019,40,61,0,0,3344
2002,2396000,1987,0,0,4019,40,61,0,0,3344
1987,1474000,1667,305,1.4111261872455901e-4,2012,20,23,0,0,1335
2009,1474000,1667,5900,0.004002713704206242,2012,20,61,0,0,1335
1989,2934000,1667,3974,0.001030674846625767,1212,12,61,0,0,1519
